Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
4,5,2015-07-31,13995,1498,1,1,0,1
352,5,2015-07-31,8204,716,1,1,0,1
416,5,2015-07-31,13376,1425,1,1,0,1
458,5,2015-07-31,9276,779,1,1,0,1
511,5,2015-07-31,7376,846,1,1,0,1
574,5,2015-07-31,11592,720,1,1,0,1
576,5,2015-07-31,9123,1072,1,1,0,1
723,5,2015-07-31,12047,787,1,1,0,1
840,5,2015-07-31,7818,1063,1,1,0,1
905,5,2015-07-31,8157,1123,1,1,0,1
4,4,2015-07-30,10387,1276,1,1,0,1
352,4,2015-07-30,7748,626,1,1,0,1
416,4,2015-07-30,12628,1389,1,1,0,1
458,4,2015-07-30,7531,622,1,1,0,1
511,4,2015-07-30,5440,732,1,1,0,1
574,4,2015-07-30,11157,699,1,1,0,1
576,4,2015-07-30,6691,846,1,1,0,1
723,4,2015-07-30,10117,705,1,1,0,1
840,4,2015-07-30,8183,1059,1,1,0,1
905,4,2015-07-30,7357,1064,1,1,0,1
4,3,2015-07-29,10514,1258,1,1,0,1
352,3,2015-07-29,6584,550,1,1,0,1
416,3,2015-07-29,12160,1344,1,1,0,1
458,3,2015-07-29,7048,654,1,1,0,1
511,3,2015-07-29,5953,779,1,1,0,1
574,3,2015-07-29,10831,726,1,1,0,0
576,3,2015-07-29,7228,905,1,1,0,1
723,3,2015-07-29,10112,658,1,1,0,1
840,3,2015-07-29,7548,966,1,1,0,1
905,3,2015-07-29,6916,1012,1,1,0,1
4,2,2015-07-28,10275,1191,1,1,0,1
352,2,2015-07-28,6844,583,1,1,0,1
416,2,2015-07-28,12498,1262,1,1,0,1
458,2,2015-07-28,9299,754,1,1,0,1
511,2,2015-07-28,6508,805,1,1,0,1
574,2,2015-07-28,11684,752,1,1,0,0
576,2,2015-07-28,7359,898,1,1,0,1
723,2,2015-07-28,9540,652,1,1,0,1
840,2,2015-07-28,8394,1060,1,1,0,1
905,2,2015-07-28,7524,1069,1,1,0,1
4,1,2015-07-27,11812,1379,1,1,0,1
352,1,2015-07-27,8172,729,1,1,0,1
416,1,2015-07-27,13850,1464,1,1,0,1
458,1,2015-07-27,10606,857,1,1,0,1
511,1,2015-07-27,7412,889,1,1,0,1
574,1,2015-07-27,14655,912,1,1,0,0
576,1,2015-07-27,9550,1112,1,1,0,1
723,1,2015-07-27,11824,765,1,1,0,1
840,1,2015-07-27,8479,1045,1,1,0,1
905,1,2015-07-27,7830,1070,1,1,0,1
4,7,2015-07-26,0,0,0,0,0,0
352,7,2015-07-26,0,0,0,0,0,0
416,7,2015-07-26,0,0,0,0,0,0
458,7,2015-07-26,0,0,0,0,0,0
511,7,2015-07-26,0,0,0,0,0,1
574,7,2015-07-26,0,0,0,0,0,0
576,7,2015-07-26,0,0,0,0,0,0
723,7,2015-07-26,0,0,0,0,0,0
840,7,2015-07-26,0,0,0,0,0,1
905,7,2015-07-26,0,0,0,0,0,0
4,6,2015-07-25,9322,1219,1,0,0,0
352,6,2015-07-25,5840,574,1,0,0,0
416,6,2015-07-25,8938,1096,1,0,0,0
458,6,2015-07-25,10461,888,1,0,0,0
511,6,2015-07-25,5655,738,1,0,0,1
574,6,2015-07-25,8279,640,1,0,0,0
576,6,2015-07-25,5148,745,1,0,0,0
723,6,2015-07-25,8221,655,1,0,0,0
840,6,2015-07-25,3149,444,1,0,0,1
905,6,2015-07-25,3563,550,1,0,0,0
4,5,2015-07-24,8322,1108,1,0,0,1
352,5,2015-07-24,5533,546,1,0,0,1
416,5,2015-07-24,9013,1188,1,0,0,1
458,5,2015-07-24,6821,646,1,0,0,0
511,5,2015-07-24,5843,812,1,0,0,1
574,5,2015-07-24,8886,645,1,0,0,0
576,5,2015-07-24,5056,719,1,0,0,1
723,5,2015-07-24,7254,573,1,0,0,0
840,5,2015-07-24,5612,898,1,0,0,1
905,5,2015-07-24,5167,914,1,0,0,1
4,4,2015-07-23,7286,1101,1,0,0,1
352,4,2015-07-23,5656,568,1,0,0,1
416,4,2015-07-23,9419,1233,1,0,0,1
458,4,2015-07-23,6832,666,1,0,0,0
511,4,2015-07-23,5573,768,1,0,0,1
574,4,2015-07-23,7883,585,1,0,0,0
576,4,2015-07-23,4300,703,1,0,0,1
723,4,2015-07-23,6710,558,1,0,0,0
840,4,2015-07-23,5765,961,1,0,0,1
905,4,2015-07-23,5286,925,1,0,0,1
4,3,2015-07-22,8503,1108,1,0,0,1
352,3,2015-07-22,5122,539,1,0,0,1
416,3,2015-07-22,9034,1134,1,0,0,1
458,3,2015-07-22,6856,603,1,0,0,0
511,3,2015-07-22,5516,750,1,0,0,0
574,3,2015-07-22,7605,560,1,0,0,0
576,3,2015-07-22,4108,691,1,0,0,1
723,3,2015-07-22,5928,510,1,0,0,0
840,3,2015-07-22,6156,984,1,0,0,0
905,3,2015-07-22,5267,876,1,0,0,1
4,2,2015-07-21,9176,1149,1,0,0,1
352,2,2015-07-21,5579,543,1,0,0,1
416,2,2015-07-21,9375,1173,1,0,0,1
458,2,2015-07-21,7401,622,1,0,0,0
511,2,2015-07-21,5548,802,1,0,0,0
574,2,2015-07-21,7044,560,1,0,0,0
576,2,2015-07-21,4402,732,1,0,0,1
723,2,2015-07-21,6706,545,1,0,0,0
840,2,2015-07-21,6307,1033,1,0,0,0
905,2,2015-07-21,5349,898,1,0,0,1
4,1,2015-07-20,10283,1348,1,0,0,1
352,1,2015-07-20,6018,598,1,0,0,1
416,1,2015-07-20,10411,1364,1,0,0,1
458,1,2015-07-20,7163,661,1,0,0,0
511,1,2015-07-20,5894,844,1,0,0,0
574,1,2015-07-20,8022,630,1,0,0,0
576,1,2015-07-20,6124,896,1,0,0,1
723,1,2015-07-20,6812,590,1,0,0,0
840,1,2015-07-20,6767,1081,1,0,0,0
905,1,2015-07-20,6225,985,1,0,0,1
4,7,2015-07-19,0,0,0,0,0,0
352,7,2015-07-19,0,0,0,0,0,0
416,7,2015-07-19,0,0,0,0,0,0
458,7,2015-07-19,0,0,0,0,0,0
511,7,2015-07-19,0,0,0,0,0,0
574,7,2015-07-19,0,0,0,0,0,0
576,7,2015-07-19,0,0,0,0,0,0
723,7,2015-07-19,0,0,0,0,0,0
840,7,2015-07-19,0,0,0,0,0,0
905,7,2015-07-19,0,0,0,0,0,0
4,6,2015-07-18,9703,1284,1,0,0,0
352,6,2015-07-18,6497,623,1,0,0,0
416,6,2015-07-18,10579,1295,1,0,0,0
458,6,2015-07-18,9615,859,1,0,0,0
511,6,2015-07-18,5831,791,1,0,0,0
574,6,2015-07-18,8054,642,1,0,0,0
576,6,2015-07-18,6272,882,1,0,0,0
723,6,2015-07-18,8410,689,1,0,0,0
840,6,2015-07-18,3389,566,1,0,0,0
905,6,2015-07-18,5711,889,1,0,0,0
4,5,2015-07-17,10514,1343,1,1,0,1
352,5,2015-07-17,7809,727,1,1,0,0
416,5,2015-07-17,11387,1344,1,1,0,1
458,5,2015-07-17,8272,678,1,1,0,0
511,5,2015-07-17,5714,775,1,1,0,0
574,5,2015-07-17,10014,705,1,1,0,0
576,5,2015-07-17,6262,870,1,1,0,1
723,5,2015-07-17,8037,631,1,1,0,0
840,5,2015-07-17,5890,1003,1,1,0,0
905,5,2015-07-17,5851,946,1,1,0,1
4,4,2015-07-16,11432,1417,1,1,0,1
352,4,2015-07-16,7990,727,1,1,0,0
416,4,2015-07-16,13610,1590,1,1,0,1
458,4,2015-07-16,7450,709,1,1,0,0
511,4,2015-07-16,6136,797,1,1,0,0
574,4,2015-07-16,9902,705,1,1,0,0
576,4,2015-07-16,7837,1018,1,1,0,1
723,4,2015-07-16,8351,627,1,1,0,0
840,4,2015-07-16,6687,1026,1,1,0,0
905,4,2015-07-16,7319,1103,1,1,0,1
4,3,2015-07-15,11126,1377,1,1,0,0
352,3,2015-07-15,7447,708,1,1,0,0
416,3,2015-07-15,12930,1531,1,1,0,0
458,3,2015-07-15,8539,736,1,1,0,0
511,3,2015-07-15,6432,801,1,1,0,0
574,3,2015-07-15,11201,741,1,1,0,0
576,3,2015-07-15,8439,1051,1,1,0,0
723,3,2015-07-15,8824,680,1,1,0,0
840,3,2015-07-15,8173,1069,1,1,0,0
905,3,2015-07-15,7825,1092,1,1,0,1
4,2,2015-07-14,12315,1485,1,1,0,0
352,2,2015-07-14,7362,646,1,1,0,0
416,2,2015-07-14,13684,1579,1,1,0,0
458,2,2015-07-14,8387,736,1,1,0,0
511,2,2015-07-14,6412,844,1,1,0,0
574,2,2015-07-14,11559,743,1,1,0,0
576,2,2015-07-14,8512,1023,1,1,0,0
723,2,2015-07-14,9058,642,1,1,0,0
840,2,2015-07-14,7986,1092,1,1,0,0
905,2,2015-07-14,7330,1025,1,1,0,1
4,1,2015-07-13,13550,1619,1,1,0,0
352,1,2015-07-13,8884,766,1,1,0,0
416,1,2015-07-13,16014,1710,1,1,0,0
458,1,2015-07-13,9532,817,1,1,0,0
511,1,2015-07-13,6391,799,1,1,0,0
574,1,2015-07-13,13084,842,1,1,0,0
576,1,2015-07-13,10122,1180,1,1,0,0
723,1,2015-07-13,11743,782,1,1,0,0
840,1,2015-07-13,8213,1094,1,1,0,0
905,1,2015-07-13,8193,1069,1,1,0,1
4,7,2015-07-12,0,0,0,0,0,0
352,7,2015-07-12,0,0,0,0,0,0
416,7,2015-07-12,0,0,0,0,0,0
458,7,2015-07-12,0,0,0,0,0,0
511,7,2015-07-12,0,0,0,0,0,0
574,7,2015-07-12,0,0,0,0,0,0
576,7,2015-07-12,0,0,0,0,0,0
723,7,2015-07-12,0,0,0,0,0,0
840,7,2015-07-12,0,0,0,0,0,0
905,7,2015-07-12,0,0,0,0,0,0
4,6,2015-07-11,10996,1401,1,0,0,0
352,6,2015-07-11,6302,615,1,0,0,0
416,6,2015-07-11,10859,1314,1,0,0,0
458,6,2015-07-11,9536,811,1,0,0,0
511,6,2015-07-11,5031,753,1,0,0,0
574,6,2015-07-11,7676,611,1,0,0,0
576,6,2015-07-11,6335,860,1,0,0,0
723,6,2015-07-11,7768,659,1,0,0,0
840,6,2015-07-11,3166,524,1,0,0,0
905,6,2015-07-11,5321,834,1,0,0,0
4,5,2015-07-10,9177,1245,1,0,0,0
352,5,2015-07-10,7167,656,1,0,0,0
416,5,2015-07-10,10591,1378,1,0,0,0
458,5,2015-07-10,5501,577,1,0,0,0
511,5,2015-07-10,4917,752,1,0,0,0
574,5,2015-07-10,8547,657,1,0,0,0
576,5,2015-07-10,5160,786,1,0,0,0
723,5,2015-07-10,7233,564,1,0,0,0
840,5,2015-07-10,5507,903,1,0,0,0
905,5,2015-07-10,6110,957,1,0,0,1
4,4,2015-07-09,9093,1185,1,0,0,0
352,4,2015-07-09,6129,610,1,0,0,0
416,4,2015-07-09,9716,1241,1,0,0,0
458,4,2015-07-09,5684,582,1,0,0,0
511,4,2015-07-09,5201,775,1,0,0,0
574,4,2015-07-09,7388,573,1,0,0,0
576,4,2015-07-09,6016,841,1,0,0,0
723,4,2015-07-09,6290,553,1,0,0,0
840,4,2015-07-09,5657,927,1,0,0,0
905,4,2015-07-09,6024,971,1,0,0,1
4,3,2015-07-08,8620,1134,1,0,0,0
352,3,2015-07-08,5813,575,1,0,0,0
416,3,2015-07-08,10236,1279,1,0,0,0
458,3,2015-07-08,6532,614,1,0,0,0
511,3,2015-07-08,5417,771,1,0,0,0
574,3,2015-07-08,8977,650,1,0,0,0
576,3,2015-07-08,5662,822,1,0,0,0
723,3,2015-07-08,6719,558,1,0,0,0
840,3,2015-07-08,5689,924,1,0,0,0
905,3,2015-07-08,5592,889,1,0,0,1
4,2,2015-07-07,8127,1103,1,0,0,0
352,2,2015-07-07,5392,550,1,0,0,0
416,2,2015-07-07,9731,1230,1,0,0,0
458,2,2015-07-07,5526,552,1,0,0,0
511,2,2015-07-07,5206,727,1,0,0,0
574,2,2015-07-07,6980,538,1,0,0,0
576,2,2015-07-07,5158,792,1,0,0,0
723,2,2015-07-07,6267,514,1,0,0,0
840,2,2015-07-07,5642,931,1,0,0,0
905,2,2015-07-07,5750,905,1,0,0,1
4,1,2015-07-06,9967,1373,1,0,0,0
352,1,2015-07-06,6745,609,1,0,0,0
416,1,2015-07-06,11701,1468,1,0,0,0
458,1,2015-07-06,6771,660,1,0,0,0
511,1,2015-07-06,5928,844,1,0,0,0
574,1,2015-07-06,7855,607,1,0,0,0
576,1,2015-07-06,6087,947,1,0,0,0
723,1,2015-07-06,7281,631,1,0,0,0
840,1,2015-07-06,7210,1091,1,0,0,0
905,1,2015-07-06,7111,1116,1,0,0,1
4,7,2015-07-05,0,0,0,0,0,0
352,7,2015-07-05,0,0,0,0,0,0
416,7,2015-07-05,0,0,0,0,0,0
458,7,2015-07-05,0,0,0,0,0,0
511,7,2015-07-05,0,0,0,0,0,0
574,7,2015-07-05,0,0,0,0,0,0
576,7,2015-07-05,0,0,0,0,0,0
723,7,2015-07-05,0,0,0,0,0,0
840,7,2015-07-05,0,0,0,0,0,0
905,7,2015-07-05,0,0,0,0,0,0
4,6,2015-07-04,9358,1257,1,0,0,0
352,6,2015-07-04,6289,595,1,0,0,0
416,6,2015-07-04,9403,1158,1,0,0,0
458,6,2015-07-04,9477,876,1,0,0,0
511,6,2015-07-04,5422,732,1,0,0,0
574,6,2015-07-04,8075,604,1,0,0,0
576,6,2015-07-04,5471,786,1,0,0,0
723,6,2015-07-04,7560,632,1,0,0,0
840,6,2015-07-04,2862,526,1,0,0,0
905,6,2015-07-04,4334,748,1,0,0,0
4,5,2015-07-03,11543,1395,1,1,0,0
352,5,2015-07-03,8183,705,1,1,0,0
416,5,2015-07-03,12238,1359,1,1,0,0
458,5,2015-07-03,8114,728,1,1,0,0
511,5,2015-07-03,6036,795,1,1,0,0
574,5,2015-07-03,11040,743,1,1,0,0
576,5,2015-07-03,7730,1016,1,1,0,0
723,5,2015-07-03,8860,622,1,1,0,0
840,5,2015-07-03,6391,973,1,1,0,0
905,5,2015-07-03,6712,1020,1,1,0,1
4,4,2015-07-02,10323,1333,1,1,0,0
352,4,2015-07-02,7332,662,1,1,0,0
416,4,2015-07-02,12802,1456,1,1,0,0
458,4,2015-07-02,7415,643,1,1,0,0
511,4,2015-07-02,5990,792,1,1,0,0
574,4,2015-07-02,9761,668,1,1,0,0
576,4,2015-07-02,8686,1065,1,1,0,0
723,4,2015-07-02,8476,619,1,1,0,0
840,4,2015-07-02,7462,1167,1,1,0,0
905,4,2015-07-02,7141,1104,1,1,0,1
4,3,2015-07-01,11216,1359,1,1,0,0
352,3,2015-07-01,8369,664,1,1,0,0
416,3,2015-07-01,14510,1539,1,1,0,0
458,3,2015-07-01,8685,716,1,1,0,0
511,3,2015-07-01,6479,823,1,1,0,0
574,3,2015-07-01,10593,700,1,1,0,0
576,3,2015-07-01,8784,1090,1,1,0,0
723,3,2015-07-01,9025,612,1,1,0,0
840,3,2015-07-01,7571,1080,1,1,0,0
905,3,2015-07-01,8191,1166,1,1,0,1
4,2,2015-06-30,13106,1488,1,1,0,0
352,2,2015-06-30,8110,654,1,1,0,0
416,2,2015-06-30,14769,1570,1,1,0,0
458,2,2015-06-30,9698,752,1,1,0,0
511,2,2015-06-30,7259,861,1,1,0,0
574,2,2015-06-30,11616,744,1,1,0,0
576,2,2015-06-30,10659,1171,1,1,0,0
723,2,2015-06-30,9892,684,1,1,0,0
840,2,2015-06-30,8792,1195,1,1,0,0
905,2,2015-06-30,10556,1353,1,1,0,1
4,1,2015-06-29,11692,1361,1,1,0,0
352,1,2015-06-29,9415,770,1,1,0,0
416,1,2015-06-29,17421,1773,1,1,0,0
458,1,2015-06-29,9872,800,1,1,0,0
511,1,2015-06-29,7332,894,1,1,0,0
574,1,2015-06-29,15135,855,1,1,0,0
576,1,2015-06-29,10540,1211,1,1,0,0
723,1,2015-06-29,11727,716,1,1,0,0
840,1,2015-06-29,10225,1166,1,1,0,0
905,1,2015-06-29,11040,1398,1,1,0,1
4,7,2015-06-28,0,0,0,0,0,0
352,7,2015-06-28,0,0,0,0,0,0
416,7,2015-06-28,0,0,0,0,0,0
458,7,2015-06-28,0,0,0,0,0,0
511,7,2015-06-28,0,0,0,0,0,0
574,7,2015-06-28,0,0,0,0,0,0
576,7,2015-06-28,0,0,0,0,0,0
723,7,2015-06-28,0,0,0,0,0,0
840,7,2015-06-28,0,0,0,0,0,0
905,7,2015-06-28,0,0,0,0,0,0
4,6,2015-06-27,8989,1268,1,0,0,0
352,6,2015-06-27,7085,618,1,0,0,0
416,6,2015-06-27,10342,1287,1,0,0,0
458,6,2015-06-27,9824,895,1,0,0,0
511,6,2015-06-27,5526,759,1,0,0,0
574,6,2015-06-27,8857,649,1,0,0,0
576,6,2015-06-27,5739,839,1,0,0,0
723,6,2015-06-27,8404,663,1,0,0,0
840,6,2015-06-27,3146,530,1,0,0,0
905,6,2015-06-27,5948,890,1,0,0,0
4,5,2015-06-26,7684,1076,1,0,0,0
352,5,2015-06-26,6786,638,1,0,0,0
416,5,2015-06-26,9600,1236,1,0,0,0
458,5,2015-06-26,5310,526,1,0,0,0
511,5,2015-06-26,4901,725,1,0,0,0
574,5,2015-06-26,7532,565,1,0,0,0
576,5,2015-06-26,4926,782,1,0,0,0
723,5,2015-06-26,6460,515,1,0,0,0
840,5,2015-06-26,5266,860,1,0,0,0
905,5,2015-06-26,6354,979,1,0,0,0
4,4,2015-06-25,7111,1046,1,0,0,0
352,4,2015-06-25,5631,574,1,0,0,0
416,4,2015-06-25,8675,1265,1,0,0,0
458,4,2015-06-25,5239,501,1,0,0,0
511,4,2015-06-25,4425,670,1,0,0,0
574,4,2015-06-25,6605,510,1,0,0,0
576,4,2015-06-25,4538,737,1,0,0,0
723,4,2015-06-25,6087,529,1,0,0,0
840,4,2015-06-25,5330,922,1,0,0,0
905,4,2015-06-25,5965,969,1,0,0,0
4,3,2015-06-24,8048,1094,1,0,0,0
352,3,2015-06-24,4747,499,1,0,0,0
416,3,2015-06-24,9065,1216,1,0,0,0
458,3,2015-06-24,5738,565,1,0,0,0
511,3,2015-06-24,4749,721,1,0,0,0
574,3,2015-06-24,7132,556,1,0,0,0
576,3,2015-06-24,4936,761,1,0,0,0
723,3,2015-06-24,5588,491,1,0,0,0
840,3,2015-06-24,6090,953,1,0,0,0
905,3,2015-06-24,5965,898,1,0,0,0
4,2,2015-06-23,7635,1118,1,0,0,0
352,2,2015-06-23,4553,501,1,0,0,0
416,2,2015-06-23,9531,1315,1,0,0,0
458,2,2015-06-23,5712,559,1,0,0,0
511,2,2015-06-23,5362,737,1,0,0,0
574,2,2015-06-23,6274,493,1,0,0,0
576,2,2015-06-23,4158,625,1,0,0,0
723,2,2015-06-23,5568,485,1,0,0,0
840,2,2015-06-23,5599,909,1,0,0,0
905,2,2015-06-23,5639,920,1,0,0,0
4,1,2015-06-22,9118,1230,1,0,0,0
352,1,2015-06-22,5550,584,1,0,0,0
416,1,2015-06-22,8993,1250,1,0,0,0
458,1,2015-06-22,5511,564,1,0,0,0
511,1,2015-06-22,5296,789,1,0,0,0
574,1,2015-06-22,7341,599,1,0,0,0
576,1,2015-06-22,5074,834,1,0,0,0
723,1,2015-06-22,5629,485,1,0,0,0
840,1,2015-06-22,5761,911,1,0,0,0
905,1,2015-06-22,5088,809,1,0,0,0
4,7,2015-06-21,0,0,0,0,0,0
352,7,2015-06-21,0,0,0,0,0,0
416,7,2015-06-21,0,0,0,0,0,0
458,7,2015-06-21,0,0,0,0,0,0
511,7,2015-06-21,0,0,0,0,0,0
574,7,2015-06-21,0,0,0,0,0,0
576,7,2015-06-21,0,0,0,0,0,0
723,7,2015-06-21,0,0,0,0,0,0
840,7,2015-06-21,0,0,0,0,0,0
905,7,2015-06-21,0,0,0,0,0,0
4,6,2015-06-20,9374,1311,1,0,0,0
352,6,2015-06-20,6048,598,1,0,0,0
416,6,2015-06-20,10324,1313,1,0,0,0
458,6,2015-06-20,9673,871,1,0,0,0
511,6,2015-06-20,5373,772,1,0,0,0
574,6,2015-06-20,8405,617,1,0,0,0
576,6,2015-06-20,6458,906,1,0,0,0
723,6,2015-06-20,8246,710,1,0,0,0
840,6,2015-06-20,3311,517,1,0,0,0
905,6,2015-06-20,5817,871,1,0,0,0
4,5,2015-06-19,9686,1281,1,1,0,0
352,5,2015-06-19,7235,684,1,1,0,0
416,5,2015-06-19,11038,1370,1,1,0,0
458,5,2015-06-19,7362,688,1,1,0,0
511,5,2015-06-19,5377,752,1,1,0,0
574,5,2015-06-19,11417,778,1,1,0,0
576,5,2015-06-19,7792,1035,1,1,0,0
723,5,2015-06-19,8468,666,1,1,0,0
